NUM_TRIALS,MIN_BITS,MAX_BITS
10,16,64
q,a,b,time (s)
296711521281342287,74604968787716099,153112641607256254,2.202668
353009188868471917,166202217615970223,291435349750374412,1.760677
448126336047450083,362715554400985159,17493116679396909,1.804821
319259712953310763,275506013830702712,299244081045180578,1.496993
560896186540648303,366850573605240583,456145518697257383,1.528713
335772378575669281,162878390362759468,329812751812420166,1.438543
919501560446839319,509574121071353174,576917651996083005,3.624017
773877295193257441,448089203140787271,81904005224820628,2.662611
1024079931785898133,1009569092310922765,45629692731470705,3.348804
1127570333366235443,318875677873672539,291931180806513991,2.900147
1084200937388197397,76448125724643586,402655178034240047,3.005455
941030785040655511,224599937853378856,195819549113655228,2.829264
1010075639522610467,448803674270747115,558911822433784021,3.639754
1121547031252105529,111347687081602778,1018270283297421796,3.107775
976794908148517643,928846476799347236,427333314662202682,2.495911
1061421075036614909,1034823671226092329,354111183499930088,3.408135
1237555871878742237,306348173442307353,151720427485286235,3.397409
1738562038373299147,152716817602436747,312142079428944128,3.068283
1171770338749368493,116764471437524232,1141687259243444018,3.533816
1724309901383301151,112671179063385494,333498217594684845,3.285722
1954005626526947381,553378477692827155,1758931699959987657,3.711750
1831015655069873231,1367811229179024688,146465927734642336,3.185995
1922715935748061603,84469033141779396,419997820928153686,3.548384
2027717678716000829,1289585763426456730,1277845130358673363,3.594088
2016034593904823897,1188989532506793361,1721557336099576312,4.332391
1891835221120493137,1393888469818147978,1568685672012365041,3.645233
3763577240222822489,896265112485482065,1304148812624993843,4.056645
3887551002110559143,2060629455845592274,416734582923135244,3.955345
3017172280584879323,2593283514036757605,1369642572162128654,2.915045
3905858596508831839,2065888420706718484,2082466759786248327,3.422093
3008581758608640419,2725647336844311061,2234702662465174773,3.522647
3594012363902362537,2190377513590987114,2409764439121479680,4.449222
4391120881713590467,635293445383024315,1031801866804099389,3.047647
4121453052055809527,3024872418686329027,423567577919244494,3.650478
2463623697170369543,570587755524018241,1531736911132052840,2.667466
3041517255128646829,1119320426362191891,2953751435842728833,3.546095
8883848524154092157,6400306986398558324,8523048840856612143,4.816213
7670026380569183039,1493436825795804616,7314076133279565627,5.018752
7354681024733369473,2233643070286887011,4327290531236135307,3.915516
6522420001942049357,1797504691991916214,1078437491990908533,3.840305
7186906510146640127,1877811742462656085,3793757210980404686,4.779152
7844089511500622911,5296841997957197031,3862477586003710114,5.165163
6036203880316447793,2624603934306805861,2651516066546190615,4.461676
6091456881171357481,144561353145156022,3531127576735290231,4.080277
8552525241080259497,3194528697608827514,3340896774941117747,4.461072
7294115564785923487,401929599653841517,404841948895538318,5.407844
14892694521252003539,1939850128088621306,10276666976651060595,7.237135
14520683986881226787,11340488816057393586,7126416629377191851,6.036574
14627290047229650601,9915429135096554544,8038589519548847084,4.637385
11192430097578193369,10432170993666699703,5445549331895059520,6.057832
9362471268250494223,7914454492632997238,15430768279479691,5.734096
16795283339964291749,11534272027221383199,2375858263533767804,5.378978
11794588576685354443,5702390195418369968,8071573130764401181,6.807073
9776775526681608967,6045543775609435370,4609799335128536156,3.538183
10775270299482902419,1709403521783430739,7086685126326301201,3.784828
15739679329883673397,14029652870028977909,1353189231473413095,3.686488
